0,ID                                                                                              0
Prompt                                                A Christmas tree with lights and teddy bear
Image                                                       coco_669925_stable_diffusion_v2_1.jpg
Rank order (higher is “farther away” from start)                                                0
Rank order (higher is “farther away” from start).1                                            0.0
Name: 0, dtype: object/n532,ID                                                                            23
Prompt                                                   words on a blue t-shirt
Image                                                 23_The word 'START'._0.png
Rank order (higher is “farther away” from start)                              1b
Rank order (higher is “farther away” from start).1                           1.0
Name: 532, dtype: object/n533,ID                                                                            23
Prompt                                                   words on a blue t-shirt
Image                                                 23_The word 'START'._1.png
Rank order (higher is “farther away” from start)                              1b
Rank order (higher is “farther away” from start).1                           1.0
Name: 533, dtype: object/n534,ID                                                                            23
Prompt                                                   words on a blue t-shirt
Image                                                 23_The word 'START'._2.png
Rank order (higher is “farther away” from start)                              1b
Rank order (higher is “farther away” from start).1                           1.0
Name: 534, dtype: object/n535,ID                                                                            23
Prompt                                                   words on a blue t-shirt
Image                                                 23_The word 'START'._3.png
Rank order (higher is “farther away” from start)                              1b
Rank order (higher is “farther away” from start).1                           1.0
Name: 535, dtype: object/n536,ID                                                                            23
Prompt                                                   words on a blue t-shirt
Image                                                 23_The word 'START'._4.png
Rank order (higher is “farther away” from start)                              1b
Rank order (higher is “farther away” from start).1                           1.0
Name: 536, dtype: object/n588,ID                                                                           27
Prompt                                                a pumpkin on a man's head
Image                                                     27_a man's head_0.png
Rank order (higher is “farther away” from start)                             1b
Rank order (higher is “farther away” from start).1                          1.0
Name: 588, dtype: object/n589,ID                                                                           27
Prompt                                                a pumpkin on a man's head
Image                                                     27_a man's head_1.png
Rank order (higher is “farther away” from start)                             1b
Rank order (higher is “farther away” from start).1                          1.0
Name: 589, dtype: object/n590,ID                                                                           27
Prompt                                                a pumpkin on a man's head
Image                                                     27_a man's head_2.png
Rank order (higher is “farther away” from start)                             1b
Rank order (higher is “farther away” from start).1                          1.0
Name: 590, dtype: object/n591,ID                                                                           27
Prompt                                                a pumpkin on a man's head
Image                                                     27_a man's head_3.png
Rank order (higher is “farther away” from start)                             1b
Rank order (higher is “farther away” from start).1                          1.0
Name: 591, dtype: object/n592,ID                                                                           27
Prompt                                                a pumpkin on a man's head
Image                                                     27_a man's head_4.png
Rank order (higher is “farther away” from start)                             1b
Rank order (higher is “farther away” from start).1                          1.0
Name: 592, dtype: object/n829,ID                                                                                              45
Prompt                                                a group of beginner snow skiers having class
Image                                                        coco_393304_stable_diffusion_v2_1.jpg
Rank order (higher is “farther away” from start)                                                 0
Rank order (higher is “farther away” from start).1                                             0.0
Name: 829, dtype: object/n1729,ID                                                                                                87
Prompt                                                an aerial photo of a sandy island in the ocean
Image                                                      partiprompt_754_stable_diffusion_v2_1.jpg
Rank order (higher is “farther away” from start)                                                   0
Rank order (higher is “farther away” from start).1                                               0.0
Name: 1729, dtype: object/n2038,ID                                                                                                  100
Prompt                                                A teddy bear under some furniture that appears...
Image                                                 100_A teddy bear under some furniture that app...
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2038, dtype: object/n2039,ID                                                                                                  100
Prompt                                                A teddy bear under some furniture that appears...
Image                                                 100_A teddy bear under some furniture that app...
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2039, dtype: object/n2040,ID                                                                                                  100
Prompt                                                A teddy bear under some furniture that appears...
Image                                                 100_A teddy bear under some furniture that app...
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2040, dtype: object/n2041,ID                                                                                                  100
Prompt                                                A teddy bear under some furniture that appears...
Image                                                 100_A teddy bear under some furniture that app...
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2041, dtype: object/n2084,ID                                                                                                  102
Prompt                                                a photo of bear and dining table; dining table...
Image                                                 102_a photo of bear and dining table; dining t...
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2084, dtype: object/n2085,ID                                                                                                  102
Prompt                                                a photo of bear and dining table; dining table...
Image                                                 102_a photo of bear and dining table; dining t...
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2085, dtype: object/n2140,ID                                                                                                  107
Prompt                                                a photo of chair and dining table; dining tabl...
Image                                                 107_a photo of chair and dining table; dining ...
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2140, dtype: object/n2141,ID                                                                                                  107
Prompt                                                a photo of chair and dining table; dining tabl...
Image                                                 107_a photo of chair and dining table; dining ...
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2141, dtype: object/n2142,ID                                                                                                  107
Prompt                                                a photo of chair and dining table; dining tabl...
Image                                                 107_a photo of chair and dining table; dining ...
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2142, dtype: object/n2143,ID                                                                                                  107
Prompt                                                a photo of chair and dining table; dining tabl...
Image                                                 107_a photo of chair and dining table; dining ...
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2143, dtype: object/n2144,ID                                                                                                  107
Prompt                                                a photo of chair and dining table; dining tabl...
Image                                                 107_a photo of chair and dining table; dining ...
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2144, dtype: object/n2152,ID                                                                                                  108
Prompt                                                a photo of bed, chair, lamp, light, and stop s...
Image                                                 108_a photo of bed, chair, and stop sign; stop...
Rank order (higher is “farther away” from start)                                                      2
Rank order (higher is “farther away” from start).1                                                  2.0
Name: 2152, dtype: object/n2153,ID                                                                                                  108
Prompt                                                a photo of bed, chair, lamp, light, and stop s...
Image                                                 108_a photo of bed, chair, and stop sign; stop...
Rank order (higher is “farther away” from start)                                                      2
Rank order (higher is “farther away” from start).1                                                  2.0
Name: 2153, dtype: object/n2154,ID                                                                                                  108
Prompt                                                a photo of bed, chair, lamp, light, and stop s...
Image                                                 108_a photo of bed, lamp, and stop sign; stop ...
Rank order (higher is “farther away” from start)                                                      2
Rank order (higher is “farther away” from start).1                                                  2.0
Name: 2154, dtype: object/n2155,ID                                                                                                  108
Prompt                                                a photo of bed, chair, lamp, light, and stop s...
Image                                                 108_a photo of bed, lamp, and stop sign; stop ...
Rank order (higher is “farther away” from start)                                                      2
Rank order (higher is “farther away” from start).1                                                  2.0
Name: 2155, dtype: object/n2158,ID                                                                                                  108
Prompt                                                a photo of bed, chair, lamp, light, and stop s...
Image                                                 108_a photo of bed, and stop sign; stop sign i...
Rank order (higher is “farther away” from start)                                                      3
Rank order (higher is “farther away” from start).1                                                  3.0
Name: 2158, dtype: object/n2159,ID                                                                                                  108
Prompt                                                a photo of bed, chair, lamp, light, and stop s...
Image                                                 108_a photo of bed, and stop sign; stop sign i...
Rank order (higher is “farther away” from start)                                                      3
Rank order (higher is “farther away” from start).1                                                  3.0
Name: 2159, dtype: object/n2160,ID                                                                                                  108
Prompt                                                a photo of bed, chair, lamp, light, and stop s...
Image                                                 108_a photo of bed, and stop sign; stop sign i...
Rank order (higher is “farther away” from start)                                                      3
Rank order (higher is “farther away” from start).1                                                  3.0
Name: 2160, dtype: object/n2161,ID                                                                                                  108
Prompt                                                a photo of bed, chair, lamp, light, and stop s...
Image                                                 108_a photo of bed, and stop sign; stop sign i...
Rank order (higher is “farther away” from start)                                                      3
Rank order (higher is “farther away” from start).1                                                  3.0
Name: 2161, dtype: object/n2278,ID                                                                                                  116
Prompt                                                A woman in a gray sweater knitting a ball of y...
Image                                                                           116-1-natural-image.jpg
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2278, dtype: object/n2279,ID                                                                                                  116
Prompt                                                A woman in a gray sweater knitting a ball of y...
Image                                                                           116-2-natural-image.jpg
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2279, dtype: object/n2280,ID                                                                                                  116
Prompt                                                A woman in a gray sweater knitting a ball of y...
Image                                                                           116-3-natural-image.jpg
Rank order (higher is “farther away” from start)                                                      1
Rank order (higher is “farther away” from start).1                                                  1.0
Name: 2280, dtype: object/n2281,ID                                                                                                  116
Prompt                                                A woman in a gray sweater knitting a ball of y...
Image                                                                           116-4-natural-image.jpg
Rank order (higher is “farther away” from start)                                                      1
Rank order (higher is “farther away” from start).1                                                  1.0
Name: 2281, dtype: object/n2282,ID                                                                                                  116
Prompt                                                A woman in a gray sweater knitting a ball of y...
Image                                                                           116-5-natural-image.jpg
Rank order (higher is “farther away” from start)                                                      2
Rank order (higher is “farther away” from start).1                                                  2.0
Name: 2282, dtype: object/n2283,ID                                                                                                  116
Prompt                                                A woman in a gray sweater knitting a ball of y...
Image                                                                           116-6-natural-image.jpg
Rank order (higher is “farther away” from start)                                                      3
Rank order (higher is “farther away” from start).1                                                  3.0
Name: 2283, dtype: object/n2284,ID                                                                                                  117
Prompt                                                An artistic photo capturing books with three s...
Image                                                                           117-1-natural-image.jpg
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2284, dtype: object/n2285,ID                                                                                                  117
Prompt                                                An artistic photo capturing books with three s...
Image                                                                           117-2-natural-image.jpg
Rank order (higher is “farther away” from start)                                                      1
Rank order (higher is “farther away” from start).1                                                  1.0
Name: 2285, dtype: object/n2286,ID                                                                                                  117
Prompt                                                An artistic photo capturing books with three s...
Image                                                                           117-3-natural-image.jpg
Rank order (higher is “farther away” from start)                                                      2
Rank order (higher is “farther away” from start).1                                                  2.0
Name: 2286, dtype: object/n2287,ID                                                                                                  117
Prompt                                                An artistic photo capturing books with three s...
Image                                                                           117-4-natural-image.jpg
Rank order (higher is “farther away” from start)                                                      3
Rank order (higher is “farther away” from start).1                                                  3.0
Name: 2287, dtype: object/n2288,ID                                                                                                  117
Prompt                                                An artistic photo capturing books with three s...
Image                                                                           117-5-natural-image.jpg
Rank order (higher is “farther away” from start)                                                      4
Rank order (higher is “farther away” from start).1                                                  4.0
Name: 2288, dtype: object/n2289,ID                                                                                                  117
Prompt                                                An artistic photo capturing books with three s...
Image                                                                           117-6-natural-image.jpg
Rank order (higher is “farther away” from start)                                                      5
Rank order (higher is “farther away” from start).1                                                  5.0
Name: 2289, dtype: object/n2428,ID                                                                                                  142
Prompt                                                A brown bear and a black top hat and a black b...
Image                                                                         142-1-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2428, dtype: object/n2429,ID                                                                                                  142
Prompt                                                A brown bear and a black top hat and a black b...
Image                                                                         142-2-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      1
Rank order (higher is “farther away” from start).1                                                  1.0
Name: 2429, dtype: object/n2430,ID                                                                                                  142
Prompt                                                A brown bear and a black top hat and a black b...
Image                                                                         142-3-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      2
Rank order (higher is “farther away” from start).1                                                  2.0
Name: 2430, dtype: object/n2431,ID                                                                                                  142
Prompt                                                A brown bear and a black top hat and a black b...
Image                                                                         142-4-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      3
Rank order (higher is “farther away” from start).1                                                  3.0
Name: 2431, dtype: object/n2432,ID                                                                                                  142
Prompt                                                A brown bear and a black top hat and a black b...
Image                                                                         142-5-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      4
Rank order (higher is “farther away” from start).1                                                  4.0
Name: 2432, dtype: object/n2433,ID                                                                                                  143
Prompt                                                A yellow school bus and a red stop sign and a ...
Image                                                                         143-1-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2433, dtype: object/n2434,ID                                                                                                  143
Prompt                                                A yellow school bus and a red stop sign and a ...
Image                                                                         143-2-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      1
Rank order (higher is “farther away” from start).1                                                  1.0
Name: 2434, dtype: object/n2435,ID                                                                                                  143
Prompt                                                A yellow school bus and a red stop sign and a ...
Image                                                                         143-3-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      2
Rank order (higher is “farther away” from start).1                                                  2.0
Name: 2435, dtype: object/n2436,ID                                                                                                  143
Prompt                                                A yellow school bus and a red stop sign and a ...
Image                                                                         143-4-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      3
Rank order (higher is “farther away” from start).1                                                  3.0
Name: 2436, dtype: object/n2437,ID                                                                                                  143
Prompt                                                A yellow school bus and a red stop sign and a ...
Image                                                                         143-5-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      4
Rank order (higher is “farther away” from start).1                                                  4.0
Name: 2437, dtype: object/n2438,ID                                                                                               144
Prompt                                                A black cat and a white mouse and a black dog.
Image                                                                      144-1-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                   0
Rank order (higher is “farther away” from start).1                                               0.0
Name: 2438, dtype: object/n2439,ID                                                                                               144
Prompt                                                A black cat and a white mouse and a black dog.
Image                                                                      144-2-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                   1
Rank order (higher is “farther away” from start).1                                               1.0
Name: 2439, dtype: object/n2440,ID                                                                                               144
Prompt                                                A black cat and a white mouse and a black dog.
Image                                                                      144-3-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                   2
Rank order (higher is “farther away” from start).1                                               2.0
Name: 2440, dtype: object/n2441,ID                                                                                               144
Prompt                                                A black cat and a white mouse and a black dog.
Image                                                                      144-4-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                   3
Rank order (higher is “farther away” from start).1                                               3.0
Name: 2441, dtype: object/n2442,ID                                                                                               144
Prompt                                                A black cat and a white mouse and a black dog.
Image                                                                      144-5-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                   4
Rank order (higher is “farther away” from start).1                                               4.0
Name: 2442, dtype: object/n2443,ID                                                                                                  145
Prompt                                                A brown teddy bear and a pink blanket and a wh...
Image                                                                         145-1-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      0
Rank order (higher is “farther away” from start).1                                                  0.0
Name: 2443, dtype: object/n2444,ID                                                                                                  145
Prompt                                                A brown teddy bear and a pink blanket and a wh...
Image                                                                         145-2-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      1
Rank order (higher is “farther away” from start).1                                                  1.0
Name: 2444, dtype: object/n2445,ID                                                                                                  145
Prompt                                                A brown teddy bear and a pink blanket and a wh...
Image                                                                         145-3-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      2
Rank order (higher is “farther away” from start).1                                                  2.0
Name: 2445, dtype: object/n2446,ID                                                                                                  145
Prompt                                                A brown teddy bear and a pink blanket and a wh...
Image                                                                         145-4-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      3
Rank order (higher is “farther away” from start).1                                                  3.0
Name: 2446, dtype: object/n2447,ID                                                                                                  145
Prompt                                                A brown teddy bear and a pink blanket and a wh...
Image                                                                         145-5-synthetic-image.jpg
Rank order (higher is “farther away” from start)                                                      4
Rank order (higher is “farther away” from start).1                                                  4.0
Name: 2447, dtype: object/n